support,itemsets
0.6142668428005285,"doces_industrializados,laticinios_sem_queijos,mercearia,temperos_molhos"
0.6142668428005285,"carnes_resfriadas_congeladas,frutas,mercearia,refrigerantes_sucos"
0.6129458388375165,"doces_industrializados,frutas,laticinios_sem_queijos,queijos"
0.6129458388375165,"laticinios_sem_queijos,verduras_hortalicas"
0.6129458388375165,"carnes_resfriadas_congeladas,laticinios_sem_queijos,mercearia"
0.6103038309114928,"carnes_resfriadas_congeladas,frutas,queijos"
0.6103038309114928,peixes_frutosdomar
0.6089828269484808,"doces_industrializados,frutas,mercearia,tuberculos"
0.6089828269484808,"carnes_resfriadas_congeladas,laticinios_sem_queijos,tuberculos"
0.6089828269484808,"frutas,mercearia,queijos,tuberculos"
0.6063408190224571,"refrigerantes_sucos,temperos_molhos,verduras_hortalicas"
0.6063408190224571,"carnes_resfriadas_congeladas,refrigerantes_sucos,temperos_molhos,tuberculos"
0.6050198150594451,"carnes_resfriadas_congeladas,mercearia,refrigerantes_sucos,temperos_molhos"
0.6036988110964333,"carnes_resfriadas_congeladas,mercearia,tuberculos"
0.6036988110964333,"mercearia,verduras_hortalicas"
0.6010568031704095,"doces_industrializados,mercearia,temperos_molhos,tuberculos"
0.6010568031704095,"carnes_resfriadas_congeladas,laticinios_sem_queijos,mercearia,refrigerantes_sucos"
0.6010568031704095,"doces_industrializados,laticinios_sem_queijos,queijos,temperos_molhos"
0.5997357992073976,"mercearia,queijos,temperos_molhos,tuberculos"
0.5997357992073976,"carnes_resfriadas_congeladas,laticinios_sem_queijos,refrigerantes_sucos,tuberculos"
0.5997357992073976,"laticinios_sem_queijos,refrigerantes_sucos,verduras_hortalicas"
0.5984147952443857,"doces_industrializados,frutas,queijos,tuberculos"
0.5984147952443857,"carnes_resfriadas_congeladas,frutas,queijos,refrigerantes_sucos"
0.5984147952443857,"peixes_frutosdomar,refrigerantes_sucos"
0.5984147952443857,"carnes_resfriadas_congeladas,queijos,temperos_molhos"
0.5970937912813739,"doces_industrializados,frutas,mercearia,queijos"
0.5970937912813739,"laticinios_sem_queijos,mercearia,queijos,tuberculos"
0.5957727873183619,"doces_industrializados,laticinios_sem_queijos,mercearia,tuberculos"
0.5957727873183619,"tuberculos,verduras_hortalicas"
0.5944517833553501,"carnes_resfriadas_congeladas,laticinios_sem_queijos,queijos"
0.5931307793923382,"carnes_resfriadas_congeladas,mercearia,refrigerantes_sucos,tuberculos"
0.5931307793923382,"carnes_resfriadas_congeladas,doces_industrializados,frutas"
0.5918097754293263,"mercearia,refrigerantes_sucos,verduras_hortalicas"
0.5891677675033025,"carnes_resfriadas_congeladas,frutas,laticinios_sem_queijos,temperos_molhos"
0.5891677675033025,"queijos,verduras_hortalicas"
0.5891677675033025,"frutas,temperos_molhos,verduras_hortalicas"
0.5878467635402906,"doces_industrializados,queijos,temperos_molhos,tuberculos"
0.5865257595772787,"doces_industrializados,laticinios_sem_queijos,queijos,tuberculos"
0.5865257595772787,"doces_industrializados,mercearia,queijos,temperos_molhos"
0.5865257595772787,"carnes_resfriadas_congeladas,queijos,refrigerantes_sucos,temperos_molhos"
0.5865257595772787,"refrigerantes_sucos,tuberculos,verduras_hortalicas"
0.5852047556142669,"carnes_resfriadas_congeladas,laticinios_sem_queijos,queijos,refrigerantes_sucos"
0.5812417437252312,"frutas,laticinios_sem_queijos,verduras_hortalicas"
0.5799207397622193,"doces_industrializados,verduras_hortalicas"
0.5799207397622193,"doces_industrializados,laticinios_sem_queijos,mercearia,queijos"
0.5799207397622193,"carnes_resfriadas_congeladas,doces_industrializados,temperos_molhos"
0.5785997357992074,"carnes_resfriadas_congeladas,queijos,tuberculos"
0.5785997357992074,"carnes_resfriadas_congeladas,doces_industrializados,frutas,refrigerantes_sucos"
0.5785997357992074,"frutas,refrigerantes_sucos,temperos_molhos,verduras_hortalicas"
0.5772787318361955,"carnes_resfriadas_congeladas,mercearia,queijos"
0.5759577278731837,"carnes_resfriadas_congeladas,frutas,mercearia,temperos_molhos"
0.5759577278731837,"queijos,refrigerantes_sucos,verduras_hortalicas"
0.5759577278731837,"carnes_resfriadas_congeladas,doces_industrializados,laticinios_sem_queijos"
0.5746367239101717,"frutas,mercearia,verduras_hortalicas"
0.5733157199471598,"carnes_resfriadas_congeladas,doces_industrializados,mercearia"
0.5733157199471598,"carnes_resfriadas_congeladas,frutas,temperos_molhos,tuberculos"
0.571994715984148,"carnes_resfriadas_congeladas,doces_industrializados,tuberculos"
0.570673712021136,"carnes_resfriadas_congeladas,queijos,refrigerantes_sucos,tuberculos"
0.570673712021136,"frutas,peixes_frutosdomar"
0.5693527080581242,"frutas,laticinios_sem_queijos,refrigerantes_sucos,verduras_hortalicas"
0.5680317040951123,"carnes_resfriadas_congeladas,frutas,laticinios_sem_queijos,mercearia"
0.5680317040951123,"doces_industrializados,mercearia,queijos,tuberculos"
0.5667107001321003,"doces_industrializados,refrigerantes_sucos,verduras_hortalicas"
0.5667107001321003,bebidas_alcoolicas
0.5667107001321003,"frutas,tuberculos,verduras_hortalicas"
0.5653896961690885,"carnes_resfriadas_congeladas,mercearia,queijos,refrigerantes_sucos"
0.5653896961690885,"carnes_resfriadas_congeladas,frutas,laticinios_sem_queijos,tuberculos"
0.5653896961690885,"carnes_resfriadas_congeladas,doces_industrializados,refrigerantes_sucos,temperos_molhos"
0.5640686922060766,"laticinios_sem_queijos,temperos_molhos,verduras_hortalicas"
0.5640686922060766,"carnes_resfriadas_congeladas,doces_industrializados,laticinios_sem_queijos,refrigerantes_sucos"
0.5627476882430648,"frutas,mercearia,refrigerantes_sucos,verduras_hortalicas"
0.5627476882430648,"carnes_resfriadas_congeladas,laticinios_sem_queijos,mercearia,temperos_molhos"
0.5614266842800528,"carnes_resfriadas_congeladas,doces_industrializados,refrigerantes_sucos,tuberculos"
0.5614266842800528,"peixes_frutosdomar,temperos_molhos"
0.560105680317041,"frutas,queijos,verduras_hortalicas"
0.560105680317041,"frutas,peixes_frutosdomar,refrigerantes_sucos"
0.5587846763540291,"frutas,refrigerantes_sucos,tuberculos,verduras_hortalicas"
0.5587846763540291,"carnes_resfriadas_congeladas,doces_industrializados,mercearia,refrigerantes_sucos"
0.5587846763540291,"mercearia,temperos_molhos,verduras_hortalicas"
0.5574636723910171,"carnes_resfriadas_congeladas,laticinios_sem_queijos,temperos_molhos,tuberculos"
0.5574636723910171,"carnes_resfriadas_congeladas,frutas,mercearia,tuberculos"
0.5574636723910171,"laticinios_sem_queijos,peixes_frutosdomar"
0.5561426684280053,"carnes_resfriadas_congeladas,frutas,queijos,temperos_molhos"
0.5548216644649934,"carnes_resfriadas_congeladas,frutas,laticinios_sem_queijos,queijos"
0.5535006605019815,"bebidas_alcoolicas,refrigerantes_sucos"
0.5521796565389696,"carnes_resfriadas_congeladas,doces_industrializados,queijos"
0.5521796565389696,"laticinios_sem_queijos,refrigerantes_sucos,temperos_molhos,verduras_hortalicas"
0.5521796565389696,"peixes_frutosdomar,refrigerantes_sucos,temperos_molhos"
0.5521796565389696,"laticinios_sem_queijos,mercearia,verduras_hortalicas"
0.5495376486129459,"doces_industrializados,frutas,verduras_hortalicas"
0.5495376486129459,"temperos_molhos,tuberculos,verduras_hortalicas"
0.5482166446499339,"carnes_resfriadas_congeladas,laticinios_sem_queijos,queijos,temperos_molhos"
0.5482166446499339,"frutas,queijos,refrigerantes_sucos,verduras_hortalicas"
0.5482166446499339,"laticinios_sem_queijos,peixes_frutosdomar,refrigerantes_sucos"
0.5482166446499339,"mercearia,refrigerantes_sucos,temperos_molhos,verduras_hortalicas"
