antecedents,consequents,support,confidence,lift,leverage,conviction,minsup_test,minconf_test
"carnes_embutidas_defumadas,matinais,queijos",enlatados_conserva_vacuo,0.18494055482166447,0.7446808510638298,1.596950153697788,0.0691319590471321,2.0902686041391454,0.1,0.6
"bebidas_alcoolicas,padaria,peixes_frutosdomar",enlatados_conserva_vacuo,0.12681638044914134,0.7441860465116279,1.5958890572501483,0.047351971646403715,2.086225531403867,0.1,0.6
"carnes_embutidas_defumadas,verduras_hortalicas","enlatados_conserva_vacuo,queijos",0.24438573315719947,0.6776556776556776,1.5931221987122606,0.09098523860961277,1.7826798366758732,0.1,0.6
"carnes_embutidas_defumadas,frango","enlatados_conserva_vacuo,tuberculos",0.14927344782034346,0.6647058823529411,1.59234921816828,0.05552928283619726,1.7374678439824793,0.1,0.6
"enlatados_conserva_vacuo,frango","carnes_embutidas_defumadas,laticinios_sem_queijos",0.14795244385733158,0.6666666666666667,1.592008412197687,0.05501798275540139,1.743725231175694,0.1,0.6
"bebidas_alcoolicas,carnes_embutidas_defumadas,matinais",enlatados_conserva_vacuo,0.12549537648612946,0.7421875,1.5916032223796035,0.046646970852405295,2.0700532404627516,0.1,0.6
"carnes_embutidas_defumadas,laticinios_sem_queijos,matinais",enlatados_conserva_vacuo,0.18229854689564068,0.7419354838709677,1.591062779859271,0.06772195745913526,2.0680317040951124,0.1,0.6
"carnes_embutidas_defumadas,padaria,verduras_hortalicas",enlatados_conserva_vacuo,0.14398943196829592,0.7414965986394558,1.5901216010483514,0.05343696612331583,2.0645206146144757,0.1,0.6
"bebidas_alcoolicas,peixes_frutosdomar,verduras_hortalicas",enlatados_conserva_vacuo,0.20079260237780713,0.7414634146341464,1.5900504387480139,0.0745119527300458,2.064255626729145,0.1,0.6
"bebidas_alcoolicas,carnes_embutidas_defumadas","enlatados_conserva_vacuo,queijos",0.190224570673712,0.676056338028169,1.5893622605196396,0.07053847053218833,1.7738785825053127,0.1,0.6
"matinais,padaria,peixes_frutosdomar",enlatados_conserva_vacuo,0.130779392338177,0.7388059701492536,1.5843516130396176,0.04823496769037203,2.0432534440460457,0.1,0.6
"bebidas_alcoolicas,carnes_embutidas_defumadas,queijos",enlatados_conserva_vacuo,0.190224570673712,0.7384615384615384,1.583612987578993,0.07010395271608535,2.0405625922760118,0.1,0.6
"enlatados_conserva_vacuo,frango","carnes_embutidas_defumadas,queijos",0.14663143989431968,0.6607142857142857,1.5827870705244123,0.05399014743939873,1.7170270458179797,0.1,0.6
